Date,Package,Title,year
2017-08-22,zic,Bayesian Inference for Zero-Inflated Count Models,2017
2017-08-21,BayesBD,Bayesian Inference for Image Boundaries,2017
2017-08-21,BeviMed,Bayesian Evaluation of Variant Involvement in Mendelian Disease,2017
2017-08-21,cosinor2,Extended Tools for Cosinor Analysis of Rhythms,2017
2017-08-21,dartR,"Importing and Analysing Snp and Silicodart Data Generated by
Genome-Wide Restriction Fragment Analysis",2017
2017-08-21,descomponer,Seasonal Adjustment by Frequency Analysis,2017
2017-08-21,dynr,Dynamic Modeling in R,2017
2017-08-21,fastcluster,Fast Hierarchical Clustering Routines for R and Python,2017
2017-08-21,highriskzone,Determining and Evaluating High-Risk Zones,2017
2017-08-21,InfoTrad,Calculates the Probability of Informed Trading (PIN),2017
2017-08-21,ircor,Correlation Coefficients for Information Retrieval,2017
2017-08-21,KappaGUI,GUI for Cohen's and Fleiss' Kappa,2017
2017-08-21,KFAS,"Kalman Filter and Smoother for Exponential Family State Space
Models",2017
2017-08-21,RBesT,R Bayesian Evidence Synthesis Tools,2017
2017-08-21,RVAideMemoire,Testing and Plotting Procedures for Biostatistics,2017
2017-08-21,vegdata,Access Vegetation Databases and Treat Taxonomy,2017
2017-08-20,blastula,Easily Send HTML Email Messages,2017
2017-08-20,bookdown,Authoring Books and Technical Documents with R Markdown,2017
2017-08-20,easycsv,Load Multiple 'csv' and 'txt' Tables,2017
2017-08-20,ergm,"Fit, Simulate and Diagnose Exponential-Family Models for
Networks",2017
2017-08-20,GeneralizedUmatrix,Credible Visualization for Two-Dimensional Projections of Data,2017
2017-08-20,GRCdata,"Parameter Inference and Optimal Designs for Grouped and/or
Right-Censored Count Data",2017
2017-08-20,happybiRthday,Calculate Upcoming Birthday Dates of Github Repos,2017
2017-08-20,HSAUR2,A Handbook of Statistical Analyses Using R (2nd Edition),2017
2017-08-20,httr,Tools for Working with URLs and HTTP,2017
2017-08-20,komadown,R Markdown Templates for the 'KOMA-Script' Classes,2017
2017-08-20,latentnet,Latent Position and Cluster Models for Statistical Networks,2017
2017-08-20,mdmb,Model Based Treatment of Missing Data,2017
2017-08-20,stpm,"Stochastic Process Model for Analysis of Longitudinal and
Time-to-Event Outcomes",2017
2017-08-20,zonator,"Utilities for Zonation Spatial Conservation Prioritization
Software",2017
2017-08-19,alleHap,"Allele Imputation and Haplotype Reconstruction from Pedigree
Databases",2017
2017-08-19,ccRemover,"Removes the Cell-Cycle Effect from Single-Cell RNA-Sequencing
Data",2017
2017-08-19,ECharts2Shiny,"Embedding Interactive Charts Generated with ECharts Library into
Shiny Applications",2017
2017-08-19,NetworkChange,Bayesian Package for Network Changepoint Analysis,2017
2017-08-19,rsMove,Remote Sensing for Movement Ecology,2017
2017-08-18,ahnr,An Implementation of the Artificial Hydrocarbon Networks,2017
2017-08-18,CIAAWconsensus,Isotope Ratio Meta-Analysis,2017
2017-08-18,dataone,R Interface to the DataONE REST API,2017
2017-08-18,document,Run 'roxygen2' on (Chunks of) Single Code Files,2017
2017-08-18,fuser,Fused Lasso for High-Dimensional Regression over Groups,2017
2017-08-18,HSAUR,A Handbook of Statistical Analyses Using R (1st Edition),2017
2017-08-18,HSAUR3,A Handbook of Statistical Analyses Using R (3rd Edition),2017
2017-08-18,ImputeRobust,"Robust Multiple Imputation with Generalized Additive Models for
Location Scale and Shape",2017
2017-08-18,mHG,Minimum-Hypergeometric Test,2017
2017-08-18,odpc,One-Sided Dynamic Principal Components,2017
2017-08-18,revengc,"Reverse Engineering Censored, Decoupled Residential Data for
Population Density Estimation",2017
2017-08-18,sasMap,Static 'SAS' Code Analysis,2017
2017-08-18,wppExplorer,Explorer of World Population Prospects,2017
2017-08-17,bayesDP,Tools for the Bayesian Discount Prior Function,2017
2017-08-17,CompDist,Multisection Composite Distributions,2017
2017-08-17,drtmle,Doubly-Robust Nonparametric Estimation and Inference,2017
2017-08-17,ecoengine,"Programmatic Interface to the Web Service Methods Provided by UC
Berkeley's Natural History Data",2017
2017-08-17,forwards,Data from Surveys Conducted by Forwards,2017
2017-08-17,FuzzyLP,Fuzzy Linear Programming,2017
2017-08-17,gamCopula,"Generalized Additive Models for Bivariate Conditional Dependence
Structures and Vine Copulas",2017
2017-08-17,hei,Calculate Healthy Eating Index (HEI) Scores,2017
2017-08-17,leaflet.minicharts,Mini Charts for Interactive Maps,2017
2017-08-17,MODIStsp,"A Tool for Automating Download and Preprocessing of MODIS Land
Products Data",2017
2017-08-17,MSCMT,Multivariate Synthetic Control Method Using Time Series,2017
2017-08-17,outbreaker,"Bayesian Reconstruction of Disease Outbreaks by Combining
Epidemiologic and Genomic Data",2017
2017-08-17,polysat,Tools for Polyploid Microsatellite Analysis,2017
2017-08-17,PowerTOST,"Power and Sample Size Based on Two One-Sided t-Tests (TOST) for
(Bio)Equivalence Studies",2017
2017-08-17,RefManageR,Straightforward 'BibTeX' and 'BibLaTeX' Bibliography Management,2017
2017-08-17,textmineR,Functions for Text Mining and Topic Modeling,2017
2017-08-17,zipfR,Statistical Models for Word Frequency Distributions,2017
2017-08-16,AlleleRetain,"Allele Retention, Inbreeding, and Demography",2017
2017-08-16,AssayCorrector,Detection and Correction of Spatial Bias in HTS Screens,2017
2017-08-16,atlantistools,Process and Visualise Output from Atlantis Models,2017
2017-08-16,bmrm,Bundle Methods for Regularized Risk Minimization Package,2017
2017-08-16,CBCgrps,Compare Baseline Characteristics Between Groups,2017
2017-08-16,diagram,"Functions for Visualising Simple Graphs (Networks), Plotting
Flow Diagrams",2017
2017-08-16,HistData,Data Sets from the History of Statistics and Data Visualization,2017
2017-08-16,IceCast,Apply Statistical Post-Processing to Improve Sea Ice Predictions,2017
2017-08-16,markovchain,Easy Handling Discrete Time Markov Chains,2017
2017-08-16,multiplex,Algebraic Tools for the Analysis of Multiple Social Networks,2017
2017-08-16,ncar,Noncompartmental Analysis for Pharmacokinetic Report,2017
2017-08-16,NonCompart,Noncompartmental Analysis for Pharmacokinetic Data,2017
2017-08-16,PAC,"Partition-Assisted Clustering and Multiple Alignments of
Networks",2017
2017-08-16,plotrix,Various Plotting Functions,2017
2017-08-16,rmapshaper,Client for 'mapshaper' for 'Geospatial' Operations,2017
2017-08-16,shape,"Functions for Plotting Graphical Shapes, Colors",2017
2017-08-16,statnet.common,"Common R Scripts and Utilities Used by the Statnet Project
Software",2017
2017-08-16,TraMineR,"Trajectory Miner: a Toolbox for Exploring and Rendering
Sequences",2017
2017-08-16,TraMineRextras,TraMineR Extension,2017
2017-08-16,xmeta,A Toolbox for Multivariate Meta-Analysis,2017
2017-08-16,yuima,The YUIMA Project Package for SDEs,2017
2017-08-15,arfima,Fractional ARIMA (and Other Long Memory) Time Series Modeling,2017
2017-08-15,ggquiver,Quiver Plots for 'ggplot2',2017
2017-08-15,GrpString,"Patterns and Statistical Differences Between Two Groups of
Strings",2017
2017-08-15,Lahman,Sean 'Lahman' Baseball Database,2017
2017-08-15,LBSPR,Length-Based Spawning Potential Ratio,2017
2017-08-15,NLP,Natural Language Processing Infrastructure,2017
2017-08-15,optiSel,Optimum Contribution Selection and Population Genetics,2017
2017-08-15,pbmcapply,Tracking the Progress of Mc*pply with Progress Bar,2017
2017-08-15,PeakSegDP,"Dynamic Programming Algorithm for Peak Detection in ChIP-Seq
Data",2017
2017-08-15,PeakSegJoint,Joint Peak Detection in Several ChIP-Seq Samples,2017
2017-08-15,preseqR,Predicting the Number of Species in a Random Sample,2017
2017-08-15,ReacTran,"Reactive Transport Modelling in 1d, 2d and 3d",2017
2017-08-15,rexpokit,R Wrappers for EXPOKIT; Other Matrix Functions,2017
2017-08-15,samon,Sensitivity Analysis for Missing Data,2017
2017-08-15,sdmpredictors,Species Distribution Modelling Predictor Datasets,2017
2017-08-15,SorptionAnalysis,Static Adsorption Experiment Plotting and Analysis,2017
2017-08-15,usmap,US Maps Including Alaska and Hawaii,2017
2017-08-15,VineCopula,Statistical Inference of Vine Copulas,2017
2017-08-14,CARBayesST,"Spatio-Temporal Generalised Linear Mixed Models for Areal Unit
Data",2017
2017-08-14,CIplot,Functions to Plot Confidence Interval,2017
2017-08-14,ConfoundedMeta,Sensitivity Analyses for Unmeasured Confounding in Meta-Analyses,2017
2017-08-14,fastJT,"Efficient Jonckheere-Terpstra Test Statistics for Robust Machine
Learning and Genome-Wide Association Studies",2017
2017-08-14,fda,Functional Data Analysis,2017
2017-08-14,fold,A Self-Describing Dataset Format and Interface,2017
2017-08-14,ghibli,Studio Ghibli Palette Generator,2017
2017-08-14,IsoriX,"Isoscape Computation and Inference of Spatial Origins using
Mixed Models",2017
2017-08-14,jtGWAS,Efficient Jonckheere-Terpstra Test Statistics,2017
2017-08-14,ldstatsHD,Linear Dependence Statistics for High-Dimensional Data,2017
2017-08-14,limSolve,Solving Linear Inverse Models,2017
2017-08-14,lmmen,Linear Mixed Model Elastic Net,2017
2017-08-14,MPLikelihoodWB,"Modified Profile Likelihood Estimation for Weibull Shape and
Regression Parameters",2017
2017-08-14,mvnfast,Fast Multivariate Normal and Student's t Methods,2017
2017-08-14,paramlink,Parametric Linkage and Other Pedigree Analysis in R,2017
2017-08-14,rbi,R Interface to LibBi,2017
2017-08-14,RealVAMS,Multivariate VAM Fitting,2017
2017-08-14,RMySQL,Database Interface and 'MySQL' Driver for R,2017
2017-08-14,robCompositions,Robust Estimation for Compositional Data,2017
2017-08-14,robustrao,An Extended Rao-Stirling Diversity Index to Handle Missing Data,2017
2017-08-14,rts,Raster Time Series Analysis,2017
2017-08-14,SEERaBomb,SEER and Atomic Bomb Survivor Data Analysis Tools,2017
2017-08-14,smoof,Single and Multi-Objective Optimization Test Functions,2017
2017-08-14,snplist,Tools to Create Gene Sets,2017
2017-08-14,sparsediscrim,Sparse and Regularized Discriminant Analysis,2017
2017-08-14,spef,Semiparametric Estimating Functions,2017
2017-08-14,tesseract,Open Source OCR Engine for R,2017
2017-08-14,tsiR,An Implementation of the TSIR Model,2017
2017-08-14,widyr,"Widen, Process, then Re-Tidy Data",2017
2017-08-13,BLPestimatoR,Performs a BLP Demand Estimation,2017
2017-08-13,Delaporte,Statistical Functions for the Delaporte Distribution,2017
2017-08-13,DoE.base,"Full Factorials, Orthogonal Arrays and Base Utilities for DoE
Packages",2017
2017-08-13,esvis,Visualization and Estimation of Effect Sizes,2017
2017-08-13,grec,"GRadient-Based RECognition of Spatial Patterns in Environmental
Data",2017
2017-08-13,kSamples,K-Sample Rank Tests and their Combinations,2017
2017-08-13,OrgMassSpecR,Organic Mass Spectrometry,2017
2017-08-13,osmdata,"Import 'OpenStreetMap' Data as Simple Features or Spatial
Objects",2017
2017-08-13,rdpla,Client for the Digital Public Library of America ('DPLA'),2017
2017-08-13,threejs,"Interactive 3D Scatter Plots, Networks and Globes",2017
2017-08-12,biogas,Process Biogas Data and Predict Biogas Production,2017
2017-08-12,ClustOfVar,Clustering of Variables,2017
2017-08-12,crminer,Fetch 'Scholary' Full Text from 'Crossref',2017
2017-08-12,dataMeta,Create and Append a Data Dictionary for an R Dataset,2017
2017-08-12,rmapzen,Client for the 'Mapzen' API,2017
2017-08-12,SpaDES.tools,"Additional Tools for Developing Spatially Explicit Discrete
Event Simulation (SpaDES) Models",2017
2017-08-11,biospear,Biomarker Selection in Penalized Regression Models,2017
2017-08-11,depend.truncation,"Statistical Inference for Parametric and Semiparametric Models
Based on Dependently Truncated Data",2017
2017-08-11,IAbin,"Plotting N-T Plane for Decision on Performing an Interim
Analysis",2017
2017-08-11,meta,General Package for Meta-Analysis,2017
2017-08-11,rasterList,A Raster Where Cells are Generic Objects,2017
2017-08-11,rcv,Ranked Choice Voting,2017
2017-08-11,RIA,Radiomics Image Analysis Toolbox for Grayscale Images,2017
2017-08-11,rtimes,Client for New York Times 'APIs',2017
2017-08-11,smotefamily,"A Collection of Oversampling Techniques for Class Imbalance
Problem Based on SMOTE",2017
2017-08-11,strvalidator,Process Control and Internal Validation of Forensic STR Kits,2017
2017-08-11,TreatmentSelection,Evaluate Treatment Selection Biomarkers,2017
2017-08-11,valaddin,Functional Input Validation,2017
2017-08-11,vanddraabe,"Identification and Statistical Analysis of Conserved Waters in
Proteins",2017
2017-08-10,BCEE,The Bayesian Causal Effect Estimation Algorithm,2017
2017-08-10,cholera,"Amend, Augment and Aid Analysis of John Snow's Cholera Data",2017
2017-08-10,CytobankAPI,Cytobank API Wrapper for R,2017
2017-08-10,gamlss.spatial,"Spatial Terms in Generalized Additive Models for Location Scale
and Shape Models",2017
2017-08-10,knitr,A General-Purpose Package for Dynamic Report Generation in R,2017
2017-08-10,networktools,Tools for Identifying Important Nodes in Networks,2017
2017-08-10,reproducible,"A Set of Tools that Enhance Reproducibility Beyond Package
Management",2017
2017-08-10,RKEEL,Using Keel in R Code,2017
2017-08-10,SALTSampler,Efficient Sampling on the Simplex,2017
2017-08-10,vocaldia,Create and Manipulate Vocalisation Diagrams,2017
2017-08-09,ade4,"Analysis of Ecological Data : Exploratory and Euclidean Methods
in Environmental Sciences",2017
2017-08-09,bayesTFR,Bayesian Fertility Projection,2017
2017-08-09,clue,Cluster Ensembles,2017
2017-08-09,defrostR,A Tool for Standardizing Amphibian Taxonomy,2017
2017-08-09,Epi,A Package for Statistical Analysis in Epidemiology,2017
2017-08-09,eurostat,Tools for Eurostat Open Data,2017
2017-08-09,GEint,Misspecified Models for Gene-Environment Interaction,2017
2017-08-09,geomorph,Geometric Morphometric Analyses of 2D/3D Landmark Data,2017
2017-08-09,gsw,Gibbs Sea Water Functions,2017
2017-08-09,IPMRF,Intervention in Prediction Measure (IPM) for Random Forests,2017
2017-08-09,junr,Access Open Data Through the 'Junar' API,2017
2017-08-09,MBSGS,Multivariate Bayesian Sparse Group Selection with Spike and Slab,2017
2017-08-09,naniar,"Data Structures, Summaries, and Visualisations for Missing Data",2017
2017-08-09,netmeta,Network Meta-Analysis using Frequentist Methods,2017
2017-08-09,openSTARS,An Open Source Implementation of the 'ArcGIS' Toolbox 'STARS',2017
2017-08-09,phylocurve,Phylogenetic Comparative Methods for High-Dimensional Traits,2017
2017-08-09,plotROC,Generate Useful ROC Curve Charts for Print and Interactive Use,2017
2017-08-09,poker,Play Texas Hold Em Poker,2017
2017-08-09,ProjectTemplate,Automates the Creation of New Statistical Analysis Projects,2017
2017-08-09,PsyControl,CUSUM Person Fit Statistics,2017
2017-08-09,RcmdrPlugin.RiskDemo,R Commander Plug-in for Risk Demonstration,2017
2017-08-09,relations,Data Structures and Algorithms for Relations,2017
2017-08-09,retistruct,Retinal Reconstruction Program,2017
2017-08-09,TMB,"Template Model Builder: A General Random Effect Tool Inspired by
'ADMB'",2017
2017-08-09,xaringan,Presentation Ninja,2017
2017-08-09,zCompositions,Treatment of Zeros and Nondetects in Compositional Data Sets,2017
2017-08-08,BALCONY,Better ALignment CONsensus analYsis,2017
2017-08-08,CORElearn,"Classification, Regression and Feature Evaluation",2017
2017-08-08,EbayesThresh,Empirical Bayes Thresholding and Related Methods,2017
2017-08-08,fivethirtyeight,"Data and Code Behind the Stories and Interactives at
'FiveThirtyEight'",2017
2017-08-08,GGIR,Raw Accelerometer Data Analysis,2017
2017-08-08,hydroGOF,"Goodness-of-Fit Functions for Comparison of Simulated and
Observed Hydrological Time Series",2017
2017-08-08,idefix,Efficient Designs for Discrete Choice Experiments,2017
2017-08-08,kangar00,Kernel Approaches for Nonlinear Genetic Association Regression,2017
2017-08-08,kml3d,K-Means for Joint Longitudinal Data,2017
2017-08-08,lumberjack,Track Changes in Data,2017
2017-08-08,npbr,Nonparametric Boundary Regression,2017
2017-08-08,OHPL,Ordered Homogeneity Pursuit Lasso for Group Variable Selection,2017
2017-08-08,pec,"Prediction Error Curves for Risk Prediction Models in Survival
Analysis",2017
2017-08-08,plaqr,Partially Linear Additive Quantile Regression,2017
2017-08-08,randomizeR,Randomization for Clinical Trials,2017
2017-08-08,raw,R Actuarial Workshops,2017
2017-08-08,RcmdrPlugin.aRnova,R Commander Plug-in for Repeated-Measures ANOVA,2017
2017-08-08,Rlda,Bayesian LDA for Mixed-Membership Clustering Analysis,2017
2017-08-08,RMark,R Code for Mark Analysis,2017
2017-08-08,simPop,"Simulation of Synthetic Populations for Survey Data Considering
Auxiliary Information",2017
2017-08-08,skmeans,Spherical k-Means Clustering,2017
2017-08-08,spatialkernel,"Non-Parametric Estimation of Spatial Segregation in a
Multivariate Point Process",2017
2017-08-08,text2vec,Modern Text Mining Framework for R,2017
2017-08-08,vegtable,Handling Vegetation Data Sets,2017
2017-08-07,aiRthermo,Atmospheric Thermodynamics and Visualization,2017
2017-08-07,blink,Record Linkage for Empirically Motivated Priors,2017
2017-08-07,blsAPI,Request Data from the U.S. Bureau of Labor Statistics API,2017
2017-08-07,default,Change the Default Arguments in R Functions,2017
2017-08-07,dggridR,Discrete Global Grids for R,2017
2017-08-07,dlstats,Download Stats of R Packages,2017
2017-08-07,ggbeeswarm,Categorical Scatter (Violin Point) Plots,2017
2017-08-07,hydroTSM,"Time Series Management, Analysis and Interpolation for
Hydrological Modelling",2017
2017-08-07,multiCA,Multinomial Cochran-Armitage Trend Test,2017
2017-08-07,OmicsPLS,Perform Two-Way Orthogonal Partial Least Squares,2017
2017-08-07,permGS,Permutational Group Sequential Test for Time-to-Event Data,2017
2017-08-07,sparsepp,'Rcpp' Interface to 'sparsepp',2017
2017-08-07,statesRcontiguous,Shapefiles for the Contiguous United States of America,2017
2017-08-07,tsPI,"Improved Prediction Intervals for ARIMA Processes and Structural
Time Series",2017
2017-08-07,usl,Analyze System Scalability with the Universal Scalability Law,2017
2017-08-07,validate,Data Validation Infrastructure,2017
2017-08-07,walrus,Robust Statistical Methods,2017
2017-08-07,widgetframe,'Htmlwidgets' in Responsive 'iframes',2017
2017-08-06,corregp,Functions and Methods for Correspondence Regression,2017
2017-08-06,pander,An R 'Pandoc' Writer,2017
2017-08-06,pipeGS,Permutation p-Value Estimation for Gene Set Tests,2017
2017-08-06,reshape,Flexibly Reshape Data,2017
2017-08-06,restfulr,R Interface to RESTful Web Services,2017
2017-08-06,rsolr,R to Solr Interface,2017
2017-08-06,taxlist,Handling Taxonomic Lists,2017
2017-08-06,VARtests,"Tests for Error Autocorrelation and ARCH Errors in Vector
Autoregressive Models",2017
2017-08-05,cetcolor,CET Perceptually Uniform Colour Maps,2017
2017-08-05,ggversa,Graficas Versatiles Con 'ggplot2',2017
2017-08-05,INLAutils,Utility Functions for 'INLA',2017
2017-08-05,italy,"The Italian Survey on Household and Wealth, 2008 and 2010",2017
2017-08-05,iterLap,"Approximate Probability Densities by Iterated Laplace
Approximations",2017
2017-08-05,itunesr,To Access iTunes App Store Ratings and Reviews using R,2017
2017-08-05,ldhmm,"Hidden Markov Model for Financial Time-Series Based on Lambda
Distribution",2017
2017-08-05,LearnGeom,Learning Plane Geometry,2017
2017-08-05,MatManlyMix,Matrix Clustering with Gaussian and Manly Mixture Models,2017
2017-08-05,MCPMod,Design and Analysis of Dose-Finding Studies,2017
2017-08-05,PhenotypeSimulator,"Flexible Phenotype Simulation from Different Genetic and Noise
Models",2017
2017-08-05,r2glmm,Computes R Squared for Mixed (Multilevel) Models,2017
2017-08-05,tabularaster,Tidy Tools for 'Raster' Data,2017
2017-08-05,WGCNA,Weighted Correlation Network Analysis,2017
2017-08-04,CrossValidate,"Classes and Methods for Cross Validation of ""Class Prediction""
Algorithms",2017
2017-08-04,equaltestMI,"Examine Measurement Invariance via Equivalence Testing and
Projection Method",2017
2017-08-04,fuzzywuzzyR,Fuzzy String Matching,2017
2017-08-04,GFA,Group Factor Analysis,2017
2017-08-04,ITGM,Individual Tree Growth Modeling,2017
2017-08-04,lctools,"Local Correlation, Spatial Inequalities, Geographically Weighted
Regression and Other Tools",2017
2017-08-04,MCMCprecision,Precision of Discrete Parameters in Transdimensional MCMC,2017
2017-08-04,MCS,Model Confidence Set Procedure,2017
2017-08-04,metaBMA,"Bayesian Model Averaging for Random and Fixed Effects
Meta-Analysis",2017
2017-08-04,microPop,Modelling Microbial Populations,2017
2017-08-04,mixedsde,"Estimation Methods for Stochastic Differential Mixed Effects
Models",2017
2017-08-04,PGRdup,"Discover Probable Duplicates in Plant Genetic Resources
Collections",2017
2017-08-04,RankAggreg,Weighted Rank Aggregation,2017
2017-08-04,RcppXPtrUtils,XPtr Add-Ons for 'Rcpp',2017
2017-08-04,soilcarbon,"Tools to Analyze Soil Carbon Database Created by Powell Center
Working Group",2017
2017-08-04,SpatialAcc,Spatial Accessibility Measures,2017
2017-08-04,spbabel,Convert Spatial Data Using Tidy Tables,2017
2017-08-03,banR,R Client for the BAN API,2017
2017-08-03,BIEN,"Tools for Accessing the Botanical Information and Ecology
Network Database",2017
2017-08-03,cranlike,Tools for 'CRAN'-Like Repositories,2017
2017-08-03,desc,Manipulate DESCRIPTION Files,2017
2017-08-03,echogram,Echogram Visualisation and Analysis,2017
2017-08-03,eggCounts,Hierarchical Modelling of Faecal Egg Counts,2017
2017-08-03,EMAtools,"Data Management Tools for Real-Time Monitoring/Ecological
Momentary Assessment Data",2017
2017-08-03,GAparsimony,Searching Parsimony Models with Genetic Algorithms,2017
2017-08-03,ggsignif,Significance Brackets for 'ggplot2',2017
2017-08-03,glmBfp,Bayesian Fractional Polynomials for GLMs,2017
2017-08-03,Grid2Polygons,Convert Spatial Grids to Polygons,2017
2017-08-03,IntegratedJM,"Joint Modeling of the Gene-Expression and Bioassay Data, Taking
Care of the Effect Due to a Fingerprint Feature",2017
2017-08-03,irace,Iterated Racing for Automatic Algorithm Configuration,2017
2017-08-03,lmmpar,Parallel Linear Mixed Model,2017
2017-08-03,MazamaSpatialUtils,Spatial Data Download and Utility Functions,2017
2017-08-03,multistate,Fitting Multistate Models,2017
2017-08-03,rddensity,Manipulation Testing Based on Density Discontinuity,2017
2017-08-03,SKAT,SNP-Set (Sequence) Kernel Association Test,2017
2017-08-03,spex,Spatial Extent as Polygons with Projection,2017
2017-08-03,svenssonm,Svensson's Method,2017
2017-08-03,tidyquant,Tidy Quantitative Financial Analysis,2017
2017-08-02,adaptiveGPCA,Adaptive Generalized PCA,2017
2017-08-02,ambhasGW,Ground Water Modelling,2017
2017-08-02,BayesianTools,"General-Purpose MCMC and SMC Samplers and Tools for Bayesian
Statistics",2017
2017-08-02,geohash,Tools for Geohash Creation and Manipulation,2017
2017-08-02,GGally,Extension to 'ggplot2',2017
2017-08-02,GreedyEPL,Greedy Expected Posterior Loss,2017
2017-08-02,IrishDirectorates,Irish Companies' Boards from 2003 to 2013,2017
2017-08-02,lmom,L-Moments,2017
2017-08-02,lmomRFA,Regional Frequency Analysis using L-Moments,2017
2017-08-02,MixtureRegLTIC,"Mixture Regression Models for Left-Truncated and
Interval-Censored Data",2017
2017-08-02,NPflow,"Bayesian Nonparametrics for Automatic Gating of Flow-Cytometry
Data",2017
2017-08-02,rgeolocate,IP Address Geolocation,2017
2017-08-02,rstantools,Tools for Developing R Packages Interfacing with 'Stan',2017
2017-08-02,rtimicropem,Supports the Analysis of RTI MicroPEM Output Files,2017
2017-08-02,Sequential,Exact Sequential Analysis for Poisson and Binomial Data,2017
2017-08-02,shinystan,"Interactive Visual and Numerical Diagnostics and Posterior
Analysis for Bayesian Models",2017
2017-08-02,subgroup.discovery,Subgroup Discovery and Bump Hunting,2017
2017-08-02,tbl2xts,Convert Tibbles or Data Frames to Xts Easily,2017
2017-08-02,ThermIndex,Calculate Thermal Indexes,2017
2017-08-02,tourr,Implement Tour Methods in R Code,2017
2017-08-01,censusapi,Retrieve Data from the Census APIs,2017
2017-08-01,dejaVu,Multiple Imputation for Recurrent Events,2017
2017-08-01,dfped,"Extrapolation and Bridging of Adult Information in Early Phase
Dose-Finding Paediatrics Studies",2017
2017-08-01,DoEstRare,"Rare Variant Association Test Based on Position Density
Estimation",2017
2017-08-01,eco,Ecological Inference in 2x2 Tables,2017
2017-08-01,fasjem,"A Fast and Scalable Joint Estimator for Learning Multiple
Related Sparse Gaussian Graphical Models",2017
2017-08-01,glmnetUtils,Utilities for 'Glmnet',2017
2017-08-01,hIRT,Hierarchical Item Response Theory Models,2017
2017-08-01,iqspr,Inverse Molecular Design,2017
2017-08-01,kpmt,Known Population Median Test,2017
2017-08-01,merDeriv,Case-Wise and Cluster-Wise Derivatives for Mixed Effects Models,2017
2017-08-01,nonmemica,Create and Evaluate NONMEM Models in a Project Context,2017
2017-08-01,Rborist,"Extensible, Parallelizable Implementation of the Random Forest
Algorithm",2017
2017-08-01,rmda,Risk Model Decision Analysis,2017
2017-08-01,seqinr,Biological Sequences Retrieval and Analysis,2017
2017-08-01,structree,Tree-Structured Clustering,2017
2017-08-01,ThresholdROC,Threshold Estimation,2017
2017-08-01,tropAlgebra,Tropical Algebra Functions,2017
2017-07-31,bio3d,Biological Structure Analysis,2017
2017-07-31,bReeze,Functions for Wind Resource Assessment,2017
2017-07-31,CompareCausalNetworks,Interface to Diverse Estimation Methods of Causal Networks,2017
2017-07-31,exampletestr,Help for Writing Unit Tests Based on Function Examples,2017
2017-07-31,GeNetIt,Spatial Graph-Theoretic Genetic Gravity Modelling,2017
2017-07-31,GWRM,Generalized Waring Regression Model for Count Data,2017
2017-07-31,LindenmayeR,Functions to Explore L-Systems (Lindenmayer Systems),2017
2017-07-31,nonlinearICP,Invariant Causal Prediction for Nonlinear Models,2017
2017-07-31,optional,Optional Types and Pattern Matching,2017
2017-07-31,quickblock,Quick Threshold Blocking,2017
2017-07-31,RODBCext,Parameterized Queries Extension for RODBC,2017
2017-07-31,SimComp,Simultaneous Comparisons for Multiple Endpoints,2017
2017-07-31,stringdist,Approximate String Matching and String Distance Functions,2017
2017-07-31,utiml,Utilities for Multi-Label Learning,2017
2017-07-30,boot,Bootstrap Functions (Originally by Angelo Canty for S),2017
2017-07-30,BSDA,Basic Statistics and Data Analysis,2017
2017-07-30,highfrequency,Tools for Highfrequency Data Analysis,2017
2017-07-30,lvec,Out of Memory Vectors,2017
2017-07-30,phybreak,Analysis of Outbreaks with Sequence Data,2017
2017-07-30,processx,Execute and Control System Processes,2017
2017-07-30,pseudo,Computes Pseudo-Observations for Modeling,2017
2017-07-30,rtk,Rarefaction Tool Kit,2017
2017-07-30,visNetwork,Network Visualization using 'vis.js' Library,2017
2017-07-29,blandr,Bland-Altman Method Comparison,2017
2017-07-29,fChange,Change Point Analysis in Functional Data,2017
2017-07-29,MasterBayes,ML and MCMC Methods for Pedigree Reconstruction and Analysis,2017
2017-07-29,plotly,Create Interactive Web Graphics via 'plotly.js',2017
2017-07-29,rAverage,"Parameter Estimation for the Averaging Model of Information
Integration Theory",2017
2017-07-29,rclipboard,Shiny/R Wrapper for 'clipboard.js',2017
2017-07-29,RkMetrics,Hybrid Mortality Estimation,2017
2017-07-29,sdcTable,Methods for Statistical Disclosure Control in Tabular Data,2017
2017-07-29,soilwater,"Implementation of Parametric Formulas for Soil Water Retention
or Conductivity Curve",2017
2017-07-28,CDVineCopulaConditional,Sampling from Conditional C- and D-Vine Copulas,2017
2017-07-28,earth,Multivariate Adaptive Regression Splines,2017
2017-07-28,gamsel,Fit Regularization Path for Generalized Additive Models,2017
2017-07-28,HiveR,2D and 3D Hive Plots for R,2017
2017-07-28,idmTPreg,Regression Model for Progressive Illness Death Data,2017
2017-07-28,incadata,"Recognize and Handle Data in Formats Used by Swedish Cancer
Centers",2017
2017-07-28,js,Tools for Working with JavaScript in R,2017
2017-07-28,mmtsne,Multiple Maps t-SNE,2017
2017-07-28,optimsimplex,R Port of the 'Scilab' Optimsimplex Module,2017
2017-07-28,rmatio,Read and Write 'Matlab' Files,2017
2017-07-27,arulesCBA,Classification Based on Association Rules,2017
2017-07-27,ChemoSpec,Exploratory Chemometrics for Spectroscopy,2017
2017-07-27,coga,Convolution of Gamma Distributions,2017
